# synset_id	definitions
00001740-v	생물이 숨을 들이마시고 내쉼을 통하여 산소를 받아들이어 삭임을 돕고 그 결과 생기는 탄산가스를 밖으로 내보내는 작용	눈 앞에 보이는 형상을 갖춘 일/1/4과 물건/0/1
00390906-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00391086-n	때리어 부수거나 헐어 버림.	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00391407-n
00391599-n	없애 버림.
00392709-n	없애 버림.
00392848-n	없애 버림.
00392950-n	없애 버림.
00394610-n	없애 버림.
00395199-n	없애 버림.
00395333-n	없애 버림.
00395503-n	없애 버림.
00395797-n	없애 버림.
00396029-n
00397010-n
00397760-n
00397953-n	서로 나뉘어서 떨어지거나 떨어지게 함.	n(한곳에 모였던 것이 다 각각 떨어지거나 따로따로 헤지다)
00398427-n
00398704-n
00399030-n
00399223-n
00400083-n	달라져서 바뀜.
00400645-n
00401639-n
00405540-v	따로따로 흩어지게 함.
00406243-v	미리 마련하여 갖춤.
00407535-n	기운차게 움직임.
00409211-n	기계 따위를 움직이게 다룸.
00409483-n	기운차게 움직임.
00410247-n	기운차게 움직임.
00411020-v	발전되어 앞으로 나아감.
00411048-n
00411384-n	맞듦. 또는, 맞들어 도와 줌.	힘을 합하여 서로 조화함.
00414179-n	여러 번 되풀이함으로써 저절로 익고 굳어진 행동
00414790-n	옛적부터 전해 오는 습관이나 버릇.
00415226-n
00415398-v	일이나 마음이 평안하게 정하여짐.
00416571-v	일이나 마음이 평안하게 정하여짐.
00418615-n	사람을 깔보거나 업신여김.
00420477-n	억눌러 괴롭히거나 못 살게 굶.
00421047-n	억눌러 괴롭히거나 못 살게 굶.
00421535-v	출결근 또는, 출결석.
00425071-v	나타나거나 나타나서 보임.
00426928-n	기운차게 움직임.
00428000-n	신령에게 음식을 바치어 정성을 나타내는 의식
00428270-n	곡조에 맞추거나 흥에 겨워서 팔다리와 온몸을 율동적으로 움직이며 뛰노는 예술적 동작 + 배우가 각본에 의하여 분장하고 음악, 배경, 조명, 그 밖의 여러 가지 장치의 힘을 빌어서 어떤 사건과 인물을 구체적으로 연출하는 예술 + 여러 가지 기예
00429048-n	흥미 있는 일이나 물건을 가지고 즐겁게 노는 일.
00429060-v	줄여서 작게 만듦.
00429949-n
00429968-v	줄여서 작게 만듦.
00430140-n	악한 품성.
00430606-n	경기.
00431893-n
00433216-n	‘생계를 세우기 위하여 일정한 동안 계속 종사하는 일’의 준말.	영리를 목적으로 하는 사업.
00433802-n	운동경기.
00438065-n	주로 사람들을 구경시키기 위하여, 묘한 기술로 부리는 여러 가지 재주. 곡마, 요술, 재주넘기, 줄타기 따위.
00440039-n
00440509-n
00440747-n	운동경기.
00441445-v	줄여서 작게 만듦.
00442115-n
00442267-v	액체나 고체가 기체로 됨.
00442437-n
00442981-n
00443231-n
00445351-n	운동경기.
00445802-n
00446493-n
00446980-n	운동경기.
00447540-n
00448232-n
00448466-n	운동경기.
00449295-n	운동경기.
00450070-n
00450335-n	운동경기.
00452034-n
00452293-n	산이나 들의 짐승을 잡는 일.
00453126-n	산이나 들의 짐승을 잡는 일.
00453731-n	농사짓는 일	농업과 임업.	농산물을 심어 가꾸고 거두어 들이는 생산 분야.
00453803-v	보태어 채움.
00453935-n	낚시로 물고기를 낚는 일
00454121-n	물고기를 잡는 일
00454237-n	낚시로 물고기를 낚는 일
00455599-n	경기.
00457382-n	기운차게 움직임.
00457723-n	침.
00461782-n	경기.
00462116-n	전체를 몇으로 나눈 것의 하나하나.
00463543-n	운동경기.
00464478-n	운동경기.
00464894-n
00466377-n
00467995-n
00468480-n
00470966-n
00471437-n
00471613-n
00472871-v	없애 버림.
00473799-v	닦는 일.
00474568-n
00474769-n
00476140-n
00478262-n
00478830-v	없애 버림.
00479440-n
00480211-n
00482298-n
00489475-n
00490285-v	잼.
00494768-n
00495808-v
00499924-n
00503237-n
00504325-n
00505349-v	없애 버림.
00505726-n
00506658-n
00507673-n	경기.
00508091-n
00511555-n
00511817-n
00512522-n
00513089-n	경기.
00514069-v
00515069-n
00515297-n
00515414-n	흥미 있는 일이나 물건을 가지고 즐겁게 노는 일.
00517728-n	신령에게 음식을 바치어 정성을 나타내는 의식
00517847-v	축전지나 컨덴서에다 방전할 때와는 반대의 전류를 바깥의 전원으로부터 흐르게 하여 본디의 전압까지 회복시키는 일.
00518115-v	축전지나 컨덴서에다 방전할 때와는 반대의 전류를 바깥의 전원으로부터 흐르게 하여 본디의 전압까지 회복시키는 일.
00518669-n	신령에게 음식을 바치어 정성을 나타내는 의식
00520257-n	흥미 있는 일이나 물건을 가지고 즐겁게 노는 일.
00520357-v	남의 일에 헤살을 놓아 해를 끼침.
00523513-n	운동경기.
00526793-n	곡조에 맞추거나 흥에 겨워서 팔다리와 온몸을 율동적으로 움직이며 뛰노는 예술적 동작 + 배우가 각본에 의하여 분장하고 음악, 배경, 조명, 그 밖의 여러 가지 장치의 힘을 빌어서 어떤 사건과 인물을 구체적으로 연출하는 예술 + 여러 가지 기예
00528667-n
