# synset_id	pos	english_lemmas	korean_lemmas
00224260-n	Noun	bloodshed, bloodbath, bloodletting, battue	살상
00226071-v	Verb	cut, thin_out, thin, reduce, dilute	희석하
00226319-n	Noun	squeeze	압축
00228283-n	Noun	abolishment, abolition	철폐, 폐지
00228535-n	Noun	liquidation, settlement	결말
00229260-n	Noun	closedown, shutdown, closing, closure	종료, 폐점, 중단, 마감, 폐장
00229934-n	Noun	quenching, extinguishing, extinction	소화
00234057-v	Verb	develop	전개하
00234857-v	Verb	rein, harness, rule	지배하
00235208-n	Noun	reversion, retrogression, regression, regress, retroversion	전환
00237078-n	Noun	establishment, organization, formation, constitution, organisation	정착, 대, 확립, 수립, 결성, 성립, 조성, 건설, 편성, 편제, 형성
00237511-v	Verb	concentrate	농축하
00238527-n	Noun	induction	감응
00239483-n	Noun	groundbreaking_ceremony, groundbreaking	기공식
00239910-n	Noun	inauguration, startup	개설, 발족, 시동, 창업, 개시
00240131-v	Verb	scale_down, reduce	감축하, 감량하, 축소하
00240184-n	Noun	initiation, foundation, instauration, origination, founding, creation, institution, introduction, innovation	대
00240938-n	Noun	installment, installing, installation, instalment	시설, 장치, 설치, 설비
00241038-v	Verb	shrink, reduce	축소하
00241699-n	Noun	start, starting	기동
00243900-v	Verb	abridge, foreshorten, cut, abbreviate, shorten, reduce, contract	자르
00243918-n	Noun	cookery, cooking, preparation	동자, 요리, 조리, 취사
00249313-v	Verb	regress, retrograde, retrogress	퇴보하
00249852-v	Verb	ripen	여물
00249987-n	Noun	stride	발전, 진보
00251013-n	Noun	cleansing, cleaning, cleanup	대청소, 청소
00251636-n	Noun	spring-cleaning	대청소
00251780-n	Noun	scouring, scrubbing, scrub	걸레질
00251791-v	Verb	derive	유래하
00252020-n	Noun	mopping, swabbing	걸레질
00252307-n	Noun	sweeping	청소
00255214-n	Noun	washup, bathing	목욕
00257770-n	Noun	bath	목욕
00259643-n	Noun	compensation, recompense	대신, 반상, 보답, 유상, 보수, 대상
00259894-n	Noun	indemnification	대상
00260622-n	Noun	reform	유신, 개선, 혁신, 변혁, 개량, 개혁, 쇄신, 경신
00262596-n	Noun	adornment	장식
00262743-n	Noun	embellishment, ornamentation	수장, 겉치레, 장식
00265773-n	Noun	moralization, moralisation	교화
00266806-n	Noun	fixture, mend, fixing, reparation, fix, mending, repair	수선, 고치, 개수, 수복, 수리, 보수
00267522-n	Noun	maintenance, upkeep, care	보수
00268557-n	Noun	restoration	수복
00269018-n	Noun	rehabilitation, renewal, reclamation	수복, 재생
00269674-n	Noun	makeover	수선
00269682-v	Verb	release, unfreeze, free, unblock	배포하
00269963-n	Noun	re-formation, regeneration	재생
00272448-n	Noun	subversion, corruption	부패, 퇴폐, 타락, 위법행위
00273601-n	Noun	comedown	실추
00273877-n	Noun	lightening, whitening	백화
00274707-n	Noun	discoloration, discolouration	변색, 퇴색, 탈색
00276883-v	Verb	order	배열하
00276987-n	Noun	contamination, pollution	오염
00277659-v	Verb	order	배열하
00278280-v	Verb	rearrange	조작하
00280586-n	Noun	movement	이동, 운동
00280853-n	Noun	coming, approaching, approach	접근, 내도, 근접
00281132-n	Noun	access	접근, 근접
00281462-n	Noun	closing, closure	접근, 근접
00282613-n	Noun	life_history, career	이력
00283951-n	Noun	ambulation	보행
00284101-n	Noun	saunter, perambulation, stroll, amble, promenade	산보, 산책
00284409-n	Noun	ramble, meander	산책
00288000-n	Noun	dressage	마술
00292125-n	Noun	prowl	배회, 암행
00292877-v	Verb	clip, cut_short, curtail	단축하, 생략하
00293916-n	Noun	running, run	주파, 달리, 주행, 러닝
00294452-n	Noun	sprint, dash	질주, 대시
00294868-n	Noun	creeping, creep, crawling, crawl	기
00297062-n	Noun	wandering, vagabondage, roving	유망, 유랑, 방랑, 유전, 유리
00297404-n	Noun	drifting	표류
00298497-n	Noun	driving	유도, 운전
00302394-n	Noun	flight, flying	비행, 항공
00303221-n	Noun	ballooning	비행
00303495-n	Noun	soaring, sailing, glide, gliding, sailplaning	취항
00306426-n	Noun	journey, journeying	여행
00307568-v	Verb	extravasate, belch, erupt	분화하
00308370-n	Noun	trip	여행
00309115-n	Noun	transit, passage	길, 여행, 순항, 항해
00309906-n	Noun	safari, campaign, hunting_expedition	사파리
00310347-n	Noun	trek	여행
00310516-n	Noun	trek	여행
00310666-n	Noun	circuit, tour	여행
00311809-n	Noun	junket, expedition, excursion, pleasure_trip, jaunt, outing, sashay	행락
00312553-n	Noun	voyage	여행
00314469-n	Noun	navigation, sailing, seafaring	주행
00315700-n	Noun	commuting, commutation	변환
00315810-v	Verb	revalue	재평가하
00315830-n	Noun	deracination, displacement	이동, 전이, 전위, 치환, 전치
00315986-n	Noun	transportation, conveyance, transport, transferral, transfer	교통, 전역, 전환, 운수, 전이, 전진, 이동, 대체, 이전
00316768-v	Verb	shorten	단축하
00318035-n	Noun	handing_over, passage	이동, 길
00318391-n	Noun	service_of_process, serving, service	사업
00318735-n	Noun	carry	운반
00318816-v	Verb	stretch, elongate	신장하
00319717-n	Noun	portage	운반
00319825-n	Noun	porterage	운반
00320852-n	Noun	intromission, insertion, introduction	이입
00322228-n	Noun	boxing, packing	포장, 꾸리
00323262-n	Noun	fix	고치
00324056-n	Noun	blood_transfusion, transfusion	이입
00324384-n	Noun	ascension, rise, ascending, ascent	상행, 상승, 승천
00325110-n	Noun	mount, climb	상행, 상승
00326291-n	Noun	soar, zoom	급상승
00326440-n	Noun	descent	강하
00327366-n	Noun	drop	하락, 저하, 강하
00328015-n	Noun	return	복귀, 대신
00329227-n	Noun	stream, flow	흐름, 유동
00329619-n	Noun	release, spill, spillage	방류
00329819-n	Noun	flood, outpouring, overflow	분류
00329943-n	Noun	effusion	분류
00330984-n	Noun	displacement, translation	변환, 치환
00331655-n	Noun	shift, shifting	이동, 전위
00331950-n	Noun	motion, motility, movement, move	운신
00332835-v	Verb	zone, partition	분할하, 칸막이하, 가름하
00334509-n	Noun	gesture	태도, 제스처, 몸짓, 법
00334996-v	Verb	break	파괴하, 훼손하, 균열하
00335366-v	Verb	fracture	파손하, 파괴하, 균열하
00335653-n	Noun	eversion, everting, inversion	전환
00335814-n	Noun	upending, inversion	전환
00335923-v	Verb	smash, dash	파괴하, 분쇄하
00336158-v	Verb	blast, knock_down	폭파하
